year,letter,first_author,et_al,Accessed,method,species,country,local_modern_data,site,n_site,marine_riverine,hunter_gatherer,sedentary,midden_or_layer,num_specimens,num_layers,total_layers,num_edge,years_in_record,start_period,end_period,calibrated,main_question,Seasonality_Result,Notes,Reference
1969,,Weide,,FALSE,External pattern,Tivela stultorum,US-California,FALSE,Ora-82,1,Marine,,,,,,,,,,,,,Winter,,"Weide, M.L., 1969. Seasonality of Pismo clam collecting at Ora-82. Archaeology Survey Annual Report."
1970,,Coutts,,TRUE,GI,"Chione stutchburyi, Protothaca crassicosta",NZ,TRUE,Southport,1,Marine,TRUE,NA,layer,5,5,NA,NA,NA,NA,NA,NA,Feasability,Spring-Summer,,"Coutts, P.J., 1970. Bivalve-growth patterning as a method for seasonal dating in archaeology. Nature 226, 874."
1970,,Coutts,,TRUE,GI,"Chione stutchburyi, Protothaca crassicosta",NZ,TRUE,Tiawi Point,1,Marine,TRUE,NA,midden,2,2,NA,NA,NA,NA,NA,NA,Feasability,Spring-Summer,,"Coutts, P.J., 1970. Bivalve-growth patterning as a method for seasonal dating in archaeology. Nature 226, 874."
1970,,Coutts,,TRUE,GI,"Chione stutchburyi, Protothaca crassicosta",NZ,TRUE,Wakapatu,1,Marine,TRUE,NA,midden,1,1,NA,NA,NA,NA,NA,NA,Feasability,Summer-Autumn,,"Coutts, P.J., 1970. Bivalve-growth patterning as a method for seasonal dating in archaeology. Nature 226, 874."
1971,,Coutts and Higham,,TRUE,GI,"Chione stutchburyi, Protothaca crassicosta",NZ,TRUE,Southport,1,Marine,TRUE,NA,layer,21,,NA,NA,NA,NA,NA,NA,Occupation Season,Spring-Summer,,"Coutts, P., Higham, C., 1971. The seasonal factor in prehistoric New Zealand. World Archaeol. 2, 266–277."
1971,,Coutts and Higham,,TRUE,GI,"Chione stutchburyi, Protothaca crassicosta",NZ,TRUE,Tiawi Point,1,Marine,TRUE,NA,midden,7,,NA,NA,NA,NA,NA,NA,Occupation Season,Spring-Summer,,"Coutts, P., Higham, C., 1971. The seasonal factor in prehistoric New Zealand. World Archaeol. 2, 266–277."
1971,,Coutts and Higham,,TRUE,GI,"Chione stutchburyi, Protothaca crassicosta",NZ,TRUE,Wakapatu,1,Marine,TRUE,NA,midden,2,,NA,NA,NA,NA,NA,NA,Occupation Season,Summer-Autumn,,"Coutts, P., Higham, C., 1971. The seasonal factor in prehistoric New Zealand. World Archaeol. 2, 266–277."
1971,,Gorman,,TRUE,External pattern,Cyclophorus sp. ,Thailand,TRUE,Spirit Cave,1,terrestrial,TRUE,FALSE,layer,NA,NA,NA,NA,NA,12000,7500,TRUE,"Occupation Season, food economy",Wet-period,"Other molluscs are looked at and interpreted as difficult to collect during wet season, due to high water levels.","Gorman, C., 1971. The Hoabinhian and after: Subsistence patterns in Southeast Asia during the late Pleistocene and early recent periods. World Archaeol. 2, 300–320."
1973,,Shackleton,,TRUE,d18O,Patella tabularis,South Africa,TRUE,Nelson Bay Cave,1,marine,TRUE,FALSE,layer,15,1,/,1,2,9000,9000,FALSE,Feasability,Winter only,,"Shackleton, N.J., 1973. OXYGEN ISOTOPE ANALYSIS AS A MEANS OF DETERMINING SEASON OF OCCUPATION OF PREHISTORIC MIDDEN SITES. Archaeometry 15, 133–141."
1974,,Drover,,TRUE,External pattern,Chione sp.,US-California,FALSE,4-Ora-119,1,marine,TRUE,TRUE,midden,111,2,2,NA,NA,NA,NA,NA,Occupation Season,year-round (Winter emphasis),,"Drover, C.E., 1974. Seasonal Exploitation of Chione Clams on the Southern California Coast. J. Calif. Gt. Basin Anthropol. 1, 224–232."
1977,,Monks,,TRUE,GI,Saxidomus gigantea,Canada-BC,FALSE,Deep-Bay,1,marine,TRUE,TRUE,midden,219,7,81,NA,5,5000,500,FALSE,Occupation Season,Late Winter- Early Spring,,"Monks, G.G., 1977. An examination of relationships between artifact classes and food resource remains at Deep Bay, DiSe 7. https://doi.org/10.14288/1.0058413"
1979,,Koike,,TRUE,GI-highres,Meretrix lusoria,Japan,TRUE,Natsumidai ,1,marine,FALSE,TRUE,midden,644,3,3,NA,,1650,1150,TRUE,Site use,year-round (Winter+Spring emphasis),,"Koike, H., 1979. Seasonal dating and the valve-pairing technique in shell-midden analysis. J. Archaeol. Sci. 6, 63–74."
1980,,Koike,,TRUE,GI-highres,Meretrix lusoria,Japan,TRUE,Hitotsubashi 0-29,1,marine,FALSE,TRUE,midden,57,8,8,NA,NA,300,300,,Occupation Season,autumn to spring,"""a seasonal sequence was observed through the shell deposit, changing from the early winter to the spring of the following year.""","Koike, H., 1980. Seasonal Dating by Growth-line Counting of the Clam, Meretrix Lusoria. University of Tokyo Press."
1980,,Koike,,TRUE,GI-highres,Meretrix lusoria,Japan,TRUE,Soya-pit 1,1,marine,Jomon,Jomon,layer,85,12,12,NA,NA,3900,3300,,Occupation Season,"early spring only (80ES, 1 LW) ",,"Koike, H., 1980. Seasonal Dating by Growth-line Counting of the Clam, Meretrix Lusoria. University of Tokyo Press."
